genero;edad;PA;NA
2;23;3,88;1,60
1;19;4,50;1,60
1;24;2,25;1,70
2;19;1,50;1,10
2;23;3,00;1,80
2;22;2,25;1,40
2;22;3,75;1,60
1;38;2,88;1,20
1;22;3,75;1,90
2;21;2,00;1,80
2;23;2,25;1,00
1;43;2,25;1,50
1;31;2,50;1,70
1;20;3,75;1,60
1;21;4,38;1,20
1;23;3,50;2,10
1;23;3,00;1,20
2;28;4,13;1,50
2;35;2,50;1,60
2;29;3,50;1,90
1;24;3,63;1,30
1;23;3,88;1,30
2;25;2,50;1,10
2;23;3,88;1,30
2;52;3,50;2,30
2;22;1,63;1,50
2;23;3,75;1,60
2;52;3,75;1,30
2;19;2,63;1,30
2;22;2,63;1,10
2;23;4,00;1,00
2;27;2,75;1,40
1;21;3,38;1,70
2;55;2,88;2,40
2;30;3,13;3,40
2;28;2,13;1,60
2;24;2,88;1,10
2;19;3,75;1,90
2;51;3,13;1,30
2;22;3,50;2,30
2;27;2,50;2,10
2;33;4,38;1,50
2;23;2,50;1,70
2;18;2,63;2,40
2;21;3,13;2,50
2;26;3,63;1,70
1;26;3,63;1,00
1;28;4,75;1,50
1;23;3,75;1,10
2;30;3,88;1,30
1;26;3,25;2,00
2;46;3,25;1,00
2;33;2,50;2,80
1;21;3,38;2,50
2;22;2,00;2,10
2;52;3,75;2,10
1;26;4,50;1,60
